latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
45.9747159,-66.8893427,19.423,13.28875,162,2014,42.164,139285.113
45.9747158,-66.8893429,19.407,13.28889,162,2014,42.148,139524.529
45.9747159,-66.8893431,19.424,13.28903,162,2014,42.165,139763.815
45.9747159,-66.8893431,19.414,13.28917,162,2014,42.155,140002.718
45.9747159,-66.8893430,19.428,13.28930,162,2014,42.169,140241.399
45.9747159,-66.8893430,19.422,13.28944,162,2014,42.163,140479.784
45.9747159,-66.8893430,19.423,13.28958,162,2014,42.164,140717.946
45.9747159,-66.8893430,19.426,13.28972,162,2014,42.167,140955.806
45.9747159,-66.8893430,19.432,13.28986,162,2014,42.173,141193.377
45.9747159,-66.8893430,19.420,13.29000,162,2014,42.161,141430.648
45.9747160,-66.8893430,19.441,13.29014,162,2014,42.182,141667.745
45.9747159,-66.8893430,19.430,13.29028,162,2014,42.171,141904.470
45.9747158,-66.8893430,19.419,13.29042,162,2014,42.160,142140.951
45.9747159,-66.8893430,19.428,13.29055,162,2014,42.169,142377.214
45.9747160,-66.8893430,19.438,13.29069,162,2014,42.179,142613.262
45.9747161,-66.8893430,19.449,13.29083,162,2014,42.190,142849.065
45.9747162,-66.8893430,19.469,13.29097,162,2014,42.210,143084.648
45.9747161,-66.8893431,19.450,13.29111,162,2014,42.191,143319.865
45.9747161,-66.8893431,19.443,13.29125,162,2014,42.184,143554.881
45.9747161,-66.8893431,19.457,13.29139,162,2014,42.198,143789.717
45.9747163,-66.8893431,19.467,13.29153,162,2014,42.208,144024.296
45.9747163,-66.8893432,19.452,13.29167,162,2014,42.193,144258.498
45.9747162,-66.8893432,19.449,13.29180,162,2014,42.190,144492.472
45.9747163,-66.8893432,19.453,13.29194,162,2014,42.194,144726.215
45.9747170,-66.8893432,19.580,13.29208,162,2014,42.321,144960.099
45.9747170,-66.8893432,19.579,13.29222,162,2014,42.320,145193.412
45.9747170,-66.8893433,19.575,13.29236,162,2014,42.316,145426.516
45.9747170,-66.8893433,19.576,13.29250,162,2014,42.317,145659.400
45.9747171,-66.8893433,19.579,13.29264,162,2014,42.320,145892.020
45.9747171,-66.8893433,19.577,13.29278,162,2014,42.318,146124.396
45.9747171,-66.8893433,19.581,13.29292,162,2014,42.322,146356.518
45.9747171,-66.8893433,19.577,13.29305,162,2014,42.318,146588.380
45.9747171,-66.8893433,19.583,13.29319,162,2014,42.324,146820.049
45.9747171,-66.8893433,19.575,13.29333,162,2014,42.316,147051.468
45.9747171,-66.8893433,19.576,13.29347,162,2014,42.317,147282.609
45.9747171,-66.8893432,19.582,13.29361,162,2014,42.323,147513.463
45.9747171,-66.8893432,19.586,13.29375,162,2014,42.327,147744.015
45.9747171,-66.8893432,19.587,13.29389,162,2014,42.328,147974.280
45.9747171,-66.8893432,19.590,13.29403,162,2014,42.331,148204.320
45.9747171,-66.8893432,19.584,13.29417,162,2014,42.325,148434.217
45.9747170,-66.8893432,19.585,13.29430,162,2014,42.326,148663.952
45.9747170,-66.8893431,19.585,13.29444,162,2014,42.326,148893.458
45.9747170,-66.8893431,19.588,13.29458,162,2014,42.329,149120.456
45.9747169,-66.8893431,19.588,13.29472,162,2014,42.329,149334.218
45.9747169,-66.8893431,19.589,13.29486,162,2014,42.330,149526.536
45.9747169,-66.8893430,19.584,13.29500,162,2014,42.325,149692.724
45.9747168,-66.8893430,19.578,13.29514,162,2014,42.319,149830.170
45.9747168,-66.8893430,19.579,13.29528,162,2014,42.320,149937.287
45.9747168,-66.8893430,19.581,13.29542,162,2014,42.322,150013.103
45.9747168,-66.8893429,19.576,13.29555,162,2014,42.317,150057.027
45.9747168,-66.8893429,19.579,13.29569,162,2014,42.320,150069.707
45.9747168,-66.8893430,19.577,13.29583,162,2014,42.318,150055.499
45.9747167,-66.8893429,19.582,13.29597,162,2014,42.323,150024.766
45.9747168,-66.8893430,19.576,13.29611,162,2014,42.317,149990.386
45.9747168,-66.8893430,19.586,13.29625,162,2014,42.327,149958.124
45.9747168,-66.8893430,19.588,13.29639,162,2014,42.329,149935.309
45.9747168,-66.8893430,19.582,13.29653,162,2014,42.323,149921.843
45.9747169,-66.8893430,19.582,13.29667,162,2014,42.323,149917.996
45.9747169,-66.8893430,19.578,13.29680,162,2014,42.319,149921.072
45.9747169,-66.8893431,19.578,13.29694,162,2014,42.319,149927.773
45.9747169,-66.8893431,19.583,13.29708,162,2014,42.324,149935.983
45.9747169,-66.8893431,19.586,13.29722,162,2014,42.327,149942.935
45.9747169,-66.8893431,19.590,13.29736,162,2014,42.331,149948.121
45.9747170,-66.8893431,19.585,13.29750,162,2014,42.326,149950.602
45.9747169,-66.8893431,19.587,13.29764,162,2014,42.328,149951.054
45.9747170,-66.8893432,19.587,13.29778,162,2014,42.328,149949.921
45.9747170,-66.8893432,19.593,13.29792,162,2014,42.334,149947.829
45.9747170,-66.8893432,19.586,13.29805,162,2014,42.327,149945.477
45.9747169,-66.8893432,19.581,13.29819,162,2014,42.322,149943.238
45.9747169,-66.8893432,19.574,13.29833,162,2014,42.315,149941.483
45.9747170,-66.8893432,19.583,13.29847,162,2014,42.324,149940.297
45.9747170,-66.8893433,19.583,13.29861,162,2014,42.324,149939.647
45.9747169,-66.8893432,19.580,13.29875,162,2014,42.321,149939.365
45.9747169,-66.8893432,19.582,13.29889,162,2014,42.323,149939.369
45.9747169,-66.8893432,19.583,13.29903,162,2014,42.324,149939.478
45.9747169,-66.8893431,19.576,13.29917,162,2014,42.317,149939.525
45.9747169,-66.8893432,19.581,13.29944,162,2014,42.322,-10.524
45.9747169,-66.8893432,19.581,13.29958,162,2014,42.322,-10.888
45.9747169,-66.8893432,19.569,13.29972,162,2014,42.310,-11.387
45.9747169,-66.8893431,19.571,13.29986,162,2014,42.312,-11.954
45.9747169,-66.8893432,19.574,13.30000,162,2014,42.315,-12.598
45.9747169,-66.8893431,19.578,13.30014,162,2014,42.319,-13.295
45.9747169,-66.8893432,19.576,13.30028,162,2014,42.317,-14.155
45.9747168,-66.8893431,19.581,13.30042,162,2014,42.322,-15.082
45.9747168,-66.8893431,19.575,13.30056,162,2014,42.316,-16.109
